,Model Name,MAE CV,MAPE CV,RMSE CV
0,Linear Regression,1927.38 +/- 95.66,0.298 +/- 0.0153,2724.56 +/- 179.52
1,Lasso,1947.16 +/- 132.37,0.2863 +/- 0.0033,2814.28 +/- 214.06
2,Random Forest,733.8 +/- 117.35,0.106 +/- 0.0158,1102.23 +/- 178.97
3,XGBoost,981.66 +/- 103.56,0.1409 +/- 0.0108,1401.81 +/- 145.51
